Time,X_pos,Y_pos,X_vel,Y_vel,X_acl,Y_acl,Angle,Ang_vel,Ang_acl
0.66,-0.24037179135924927,14.048333168290501,-1.7327693721157675,77.0944548706442,-8.276483567019937,204.56004471484306,2.211,6.5999999999999925,10.0
0.67,-0.2585271334371089,14.839733721468427,-1.8155342077859669,79.14005531779263,-8.464722236138863,202.98072946608713,2.2779999999999996,6.699999999999992,10.0
0.68,-0.2775289477385825,15.651432347592962,-1.9001814301473554,81.1698626124535,-8.652965030075737,201.40111826698654,2.3459999999999996,6.799999999999992,10.0
0.6900000000000001,-0.2973960585430636,16.483271085544196,-1.9867110804481127,83.18387379512336,-8.841129153967612,199.8212079081656,2.4149999999999996,6.8999999999999915,10.0
0.7000000000000001,-0.3181472822629415,17.335091944286248,-2.075122371987789,85.18208587420501,-9.029131800280421,198.24099538149434,2.4849999999999994,6.999999999999991,10.0
0.71,-0.3398014191628474,18.206736902566448,-2.165413689990593,87.16449582801995,-9.216890149143635,196.66047788730592,2.555999999999999,7.099999999999991,10.0
0.72,-0.36237724507766766,19.09804790863538,-2.2575825914820293,89.13110060689301,-9.404321368720513,195.07965284161352,2.6279999999999992,7.19999999999999,10.0
0.73,-0.38589350312936,20.00886687998847,-2.3516258051692347,91.08189713530915,-9.60574736708339,193.80385664442736,2.700999999999999,7.29999999999999,10.0
0.74,-0.4103703359177607,20.939066237006006,-2.4476832788400684,93.01993570175343,-9.822268328360089,192.83303058769275,2.774999999999999,7.39999999999999,10.0
0.75,-0.43582939553899736,21.88854889708231,-2.5459059621236695,94.94826600763035,-10.039817501206056,191.86181128502778,2.8499999999999988,7.499999999999989,10.0
0.76,-0.46229243691035465,22.857217738287115,-2.64630413713573,96.86688412048063,-10.258343821240922,190.89019229395458,2.925999999999999,7.599999999999989,10.0
0.77,-0.48978131266383607,23.844975598721316,-2.748887575348139,98.77578604342018,-10.477796200206326,189.91816725413835,3.002999999999999,7.699999999999989,10.0
0.78,-0.5183179680373381,24.85172527588093,-2.8536655373502025,100.67496771596157,-10.69812352585443,188.94572989184977,3.0809999999999986,7.799999999999988,10.0
0.79,-0.5479244357634255,25.87736952602973,-2.960646772608747,102.56442501488007,-10.919274661855779,187.9728740244282,3.1599999999999984,7.899999999999988,10.0
0.8,-0.5786228309556986,26.921811063580975,-3.0698395192273047,104.44415375512435,-11.14119844772705,186.99959356474722,3.2399999999999984,7.999999999999988,10.0
0.81,-0.6104353459927443,27.984952560488694,-3.181251503704575,106.31414969077181,-11.363843698779185,186.02588252568106,3.3209999999999984,8.099999999999987,10.0
0.8200000000000001,-0.643384245399668,29.066696645648978,-3.294889940692367,108.17440851602862,-11.587159206086554,185.05173502457242,3.4029999999999982,8.199999999999987,10.0
0.8300000000000001,-0.6774918607272004,30.16694590431172,-3.4107615327532326,110.02492586627434,-11.82429283621017,184.29381749644216,3.485999999999998,8.299999999999986,10.0
0.84,-0.7127819053383537,31.285624544724108,-3.5290044611153344,111.86786404123876,-12.064131379900079,183.55948541864944,3.569999999999998,8.399999999999986,10.0
0.85,-0.7492783630874971,32.42265913367836,-3.6496457749143354,113.70345889542526,-12.305204372112449,182.82465410431595,3.654999999999998,8.499999999999986,10.0
0.86,-0.7870053412738517,33.577976188043046,-3.77269781863546,115.53170543646841,-12.547473005758652,182.08931570344572,3.740999999999998,8.599999999999985,10.0
0.87,-0.8259870667607822,34.751502173978075,-3.8981725486930463,117.35259859350288,-12.790898441482867,181.35346241722198,3.8279999999999976,8.699999999999985,10.0
0.88,-0.8662478820918609,35.943163506154825,-4.026081533107875,119.1661332176751,-13.035441807408198,180.6170865014076,3.9159999999999973,8.799999999999985,10.0
0.89,-0.9078122416036805,37.15288654698172,-4.156435951181956,120.97230408268918,-13.281064198897642,179.88018026974808,4.004999999999997,8.899999999999984,10.0
0.9,-0.9507047075353898,38.38059760583558,-4.289246593170933,122.77110588538666,-13.529673212380017,179.16992491803765,4.094999999999997,8.999999999999984,10.0
0.91,-0.9949501407883372,39.62622565718125,-4.424543325294733,124.56280513456704,-13.787328560156334,178.56786059294933,4.185999999999997,9.099999999999984,10.0
0.92,-1.0405743068973001,40.88971049458622,-4.562416610896297,126.34848374049653,-14.04638298592523,177.9652108718051,4.277999999999997,9.199999999999983,10.0
0.93,-1.0876031113048557,42.17099185307836,-4.702880440755549,128.12813584921457,-14.306804488493055,177.36196673699934,4.370999999999997,9.299999999999983,10.0
0.9400000000000001,-1.1360625961612605,43.47000940824421,-4.84594848564048,129.90175551658456,-14.568561027119353,176.7581191999105,4.464999999999996,9.399999999999983,10.0
0.9500000000000001,-1.1859789371203773,44.78670277533005,-4.991634095911674,131.66933670858367,-14.831620521138564,176.1536593037167,4.559999999999996,9.499999999999982,10.0
